ds;y
2020-01-18;0
2020-02-12;0
2020-02-26;1
2020-02-27;2
2020-02-28;1
2020-02-29;0
2020-03-01;3
2020-03-02;0
2020-03-03;0
2020-03-04;2
2020-03-05;22
2020-03-06;14
2020-03-07;1
2020-03-08;27
2020-03-09;0
2020-03-10;16
2020-03-11;10
2020-03-12;0
2020-03-13;91
2020-03-14;38
2020-03-15;103
2020-03-16;0
2020-03-17;56
2020-03-18;31
2020-03-19;0
2020-03-20;77
2020-03-21;35
2020-03-22;94
2020-03-23;71
2020-03-24;48
2020-03-25;92
2020-03-26;0
2020-03-27;0
2020-03-28;0
2020-03-29;321
2020-03-30;0
2020-03-31;0
2020-04-01;0
2020-04-02;0
2020-04-03;457
2020-04-04;60
2020-04-05;62
2020-04-06;20
2020-04-07;77
2020-04-08;52
2020-04-09;71
2020-04-10;54
2020-04-11;72
2020-04-12;0
2020-04-13;64
2020-04-14;25
2020-04-15;22
2020-04-16;15
2020-04-17;17
2020-04-18;11
2020-04-19;10
2020-04-20;0
2020-04-21;156
2020-04-22;7
2020-04-23;55
2020-04-24;27
2020-04-25;16
2020-04-26;11
2020-04-27;17
2020-04-28;32
2020-04-29;10
2020-04-30;15
2020-05-01;21
2020-05-02;8
2020-05-03;6
2020-05-04;6
2020-05-05;10
2020-05-06;21
2020-05-07;15
2020-05-08;13
2020-05-09;19
2020-05-10;6
2020-05-11;10
2020-05-12;18
2020-05-13;16
2020-05-14;10
2020-05-15;40
2020-05-16;9
2020-05-17;15
2020-05-18;2
2020-05-19;4
2020-05-20;10
2020-05-21;3
2020-05-22;20
2020-05-23;3
2020-05-24;2
2020-05-25;4
2020-05-26;7
2020-05-27;14
2020-05-28;3
2020-05-29;3
2020-05-30;6
2020-05-31;2
2020-06-01;1
2020-06-02;19
2020-06-03;15
2020-06-04;0
2020-06-05;97
2020-06-06;0
2020-06-07;0
2020-06-08;0
2020-06-09;9
2020-06-10;10
2020-06-11;20
2020-06-12;20
2020-06-13;4
2020-06-14;9
2020-06-15;13
2020-06-16;14
2020-06-17;55
2020-06-18;24
2020-06-19;10
2020-06-20;19
2020-06-21;10
2020-06-22;21
2020-06-23;15
2020-06-24;8
2020-06-25;11
2020-06-26;22
2020-06-27;23
2020-06-28;10
2020-06-29;14
2020-06-30;19
2020-07-01;23
2020-07-02;26
2020-07-03;28
2020-07-04;25
2020-07-05;8
2020-07-06;43
2020-07-07;27
2020-07-08;33
2020-07-09;50
2020-07-10;60
2020-07-11;40
2020-07-12;31
2020-07-13;23
2020-07-14;57
2020-07-15;27
2020-07-16;29
2020-07-17;25
2020-07-18;19
2020-07-19;24
2020-07-20;5
2020-07-21;36
2020-07-22;29
2020-07-23;33
2020-07-24;25
2020-07-25;31
2020-07-26;27
2020-07-27;34
2020-07-28;52
2020-07-29;57
2020-07-30;65
2020-07-31;76
2020-08-01;110
2020-08-02;75
2020-08-03;75
2020-08-04;118
2020-08-05;118
2020-08-06;150
2020-08-07;147
2020-08-08;151
2020-08-09;202
2020-08-10;126
2020-08-11;193
2020-08-12;235
2020-08-13;204
2020-08-14;251
2020-08-15;226
2020-08-16;217
2020-08-17;147
2020-08-18;250
2020-08-19;212
2020-08-20;250
2020-08-21;204
2020-08-22;243
2020-08-23;283
2020-08-24;155
2020-08-25;168
2020-08-26;0
2020-08-27;544
2020-08-28;269
2020-08-29;177
2020-08-30;157
2020-08-31;183
2020-09-01;207
2020-09-02;233
2020-09-03;241
2020-09-04;202
2020-09-05;186
2020-09-06;138
2020-09-07;139
2020-09-08;169
2020-09-09;248
2020-09-10;372
2020-09-11;282
2020-09-12;302
2020-09-13;204
2020-09-14;180
2020-09-15;310
2020-09-16;311
2020-09-17;359
2020-09-18;338
2020-09-19;240
2020-09-20;164
2020-09-21;453
2020-09-22;333
2020-09-23;358
2020-09-24;341
2020-09-25;286
2020-09-26;315
2020-09-27;216
2020-09-28;263
2020-09-29;416
2020-09-30;352
2020-10-01;411
2020-10-02;460
2020-10-03;267
2020-10-04;229
2020-10-05;300
2020-10-06;399
2020-10-07;406
2020-10-08;434
2020-10-09;391
2020-10-10;306
2020-10-11;280
2020-10-12;294
2020-10-13;408
2020-10-14;435
2020-10-15;452
2020-10-16;503
2020-10-17;482
2020-10-18;438
2020-10-19;432
2020-10-20;667
2020-10-21;865
2020-10-22;882
2020-10-23;841
2020-10-24;935
2020-10-25;790
2020-10-26;714
2020-10-27;1256
2020-10-28;1547
2020-10-29;1211
2020-10-30;1686
2020-10-31;2055
2020-11-01;1678
2020-11-02;1151
2020-11-03;2166
2020-11-04;2646
2020-11-05;2915
2020-11-06;2447
2020-11-07;2555
2020-11-08;1889
2020-11-09;1489
2020-11-10;2383
2020-11-11;2751
2020-11-12;3316
2020-11-13;3038
2020-11-14;2835
2020-11-15;1695
2020-11-16;2198
2020-11-17;2422
2020-11-18;3209
2020-11-19;3227
2020-11-20;2551
2020-11-21;2309
2020-11-22;1498
2020-11-23;1387
2020-11-24;2131
2020-11-25;2151
2020-11-26;2018
2020-11-27;1981
2020-11-28;1747
2020-11-29;1193
2020-11-30;1044
2020-12-01;2199
2020-12-02;2185
2020-12-03;1882
2020-12-04;1648
2020-12-05;1383
2020-12-06;903
2020-12-07;1250
2020-12-08;1324
2020-12-09;1675
2020-12-10;1533
2020-12-11;1395
2020-12-12;1194
2020-12-13;692
2020-12-14;639
2020-12-15;1199
2020-12-16;1185
2020-12-17;1153
2020-12-18;874
2020-12-19;901
2020-12-20;587
2020-12-21;525
2020-12-22;833
2020-12-23;935
2020-12-24;870
2020-12-25;617
2020-12-26;262
2020-12-27;342
2020-12-28;475
2020-12-29;1045
2020-12-30;942
2020-12-31;932
2021-01-01;597
2021-01-02;262
2021-01-03;390
2021-01-04;427
2021-01-05;927
2021-01-06;814
2021-01-07;510
2021-01-08;717
2021-01-09;799
2021-01-10;445
2021-01-11;441
2021-01-12;841
2021-01-13;668
2021-01-14;595
2021-01-15;577
2021-01-16;510
2021-01-17;237
2021-01-18;318
2021-01-19;537
2021-01-20;511
2021-01-21;506
2021-01-22;562
2021-01-23;605
2021-01-24;334
2021-01-25;432
2021-01-26;814
2021-01-27;857
2021-01-28;713
2021-01-29;882
2021-01-30;795
2021-01-31;484
2021-02-01;538
2021-02-02;1221
2021-02-03;1150
2021-02-04;1069
2021-02-05;1172
2021-02-06;1106
2021-02-07;733
2021-02-08;629
2021-02-09;1492
2021-02-10;1482
2021-02-11;1323
2021-02-12;1372
2021-02-13;1222
2021-02-14;662
2021-02-15;696
2021-02-16;1081
2021-02-17;754
2021-02-18;1400
2021-02-19;1435
2021-02-20;1424
2021-02-21;884
2021-02-22;870
2021-02-23;2111
2021-02-24;1903
2021-02-25;1783
2021-02-26;1732
2021-02-27;1630
2021-02-28;1269
2021-03-01;1170
2021-03-02;2312
2021-03-03;2697
2021-03-04;2217
2021-03-05;2181
2021-03-06;2301
2021-03-07;1142
2021-03-08;1161
2021-03-09;3181
2021-03-10;2629
2021-03-11;2570
2021-03-12;2357
2021-03-13;2503
2021-03-14;1626
2021-03-15;1134
2021-03-16;1508
2021-03-17;3458
2021-03-18;3070
2021-03-19;2762
2021-03-20;2532
2021-03-21;1514
2021-03-22;1705
2021-03-23;3517
2021-03-24;3058
2021-03-25;2587
2021-03-26;1466
2021-03-27;3132
2021-03-28;1441
2021-03-29;1724
2021-03-30;4322
2021-03-31;3612
2021-04-01;3483
2021-04-02;3058
2021-04-03;3229
2021-04-04;1955
2021-04-05;1863
2021-04-06;4293
2021-04-07;3445
2021-04-08;3215
2021-04-09;2734
2021-04-10;2799
2021-04-11;1717
2021-04-12;1606
2021-04-13;4017
2021-04-14;3081
2021-04-15;3822
2021-04-16;3027
2021-04-17;2411
2021-04-18;1829
2021-04-19;1606
2021-04-20;3750
2021-04-21;3010
2021-04-22;2756
2021-04-23;2739
2021-04-24;2596
2021-04-25;1399
2021-04-26;1307
2021-04-27;3287
2021-04-28;2770
2021-04-29;2415
2021-04-30;2125
2021-05-01;1389
2021-05-02;0
2021-05-03;2146
2021-05-04;1368
2021-05-05;2091
2021-05-06;3418
2021-05-07;2671
2021-05-08;2461
2021-05-09;1427
2021-05-10;1900
2021-05-11;3172
2021-05-12;2478
2021-05-13;2139
2021-05-14;2188
2021-05-15;1950
2021-05-16;1259
2021-05-17;1395
2021-05-18;2781
2021-05-19;2292
2021-05-20;1886
2021-05-21;1982
2021-05-22;1503
2021-05-23;875
2021-05-24;1377
2021-05-25;2402
2021-05-26;1511
2021-05-27;1876
2021-05-28;1928
2021-05-29;1497
